Script Execution Time: 37.39 seconds | Mappers: 11 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 13:49:13
Script Execution Time: 38.75 seconds | Mappers: 11 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 13:49:54
Script Execution Time: 38.34 seconds | Mappers: 11 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 13:50:35
Script Execution Time: 39.18 seconds | Mappers: 11 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 13:51:16
Script Execution Time: 41.38 seconds | Mappers: 11 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 13:52:00
Script Execution Time: 41.34 seconds | Mappers: 11 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 13:52:44
Script Execution Time: 41.49 seconds | Mappers: 11 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 13:53:27
Script Execution Time: 43.41 seconds | Mappers: 11 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 13:54:13
Script Execution Time: 39.34 seconds | Mappers: 11 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 13:54:55
Script Execution Time: 39.30 seconds | Mappers: 11 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 13:55:37
Script Execution Time: 39.45 seconds | Mappers: 11 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 13:56:18
Script Execution Time: 42.27 seconds | Mappers: 11 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 13:57:03
Script Execution Time: 43.45 seconds | Mappers: 11 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 13:57:49
Script Execution Time: 44.46 seconds | Mappers: 11 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 13:58:36
